Year,Provider,Region,Number
2016/17,Cardiff Metropolitan University,UK,7650
2015/16,Cardiff Metropolitan University,UK,7750
2014/15,Cardiff Metropolitan University,UK,7510
2013/14,Cardiff Metropolitan University,UK,7465
2016/17,Cardiff Metropolitan University,Other EU,290
2015/16,Cardiff Metropolitan University,Other EU,340
2014/15,Cardiff Metropolitan University,Other EU,330
2013/14,Cardiff Metropolitan University,Other EU,285
2016/17,Cardiff Metropolitan University,Non-EU,1385
2015/16,Cardiff Metropolitan University,Non-EU,2830
2014/15,Cardiff Metropolitan University,Non-EU,4165
2013/14,Cardiff Metropolitan University,Non-EU,4050
2016/17,Cardiff University,UK,18630
2015/16,Cardiff University,UK,17750
2014/15,Cardiff University,UK,17170
2013/14,Cardiff University,UK,16900
2016/17,Cardiff University,Other EU,1305
2015/16,Cardiff University,Other EU,1165
2014/15,Cardiff University,Other EU,1075
2013/14,Cardiff University,Other EU,920
2016/17,Cardiff University,Non-EU,4715
2015/16,Cardiff University,Non-EU,4440
2014/15,Cardiff University,Non-EU,4140
2013/14,Cardiff University,Non-EU,4185
2016/17,University of South Wales,UK,13450
2015/16,University of South Wales,UK,13645
2014/15,University of South Wales,UK,14045
2016/17,University of South Wales,Other EU,1285
2015/16,University of South Wales,Other EU,1215
2014/15,University of South Wales,Other EU,1040
2016/17,University of South Wales,Non-EU,1605
2015/16,University of South Wales,Non-EU,1805
2014/15,University of South Wales,Non-EU,1960
2013/14,University of South Wales,UK,14585
2013/14,University of South Wales,Other EU,970
2013/14,University of South Wales,Non-EU,2210