Year,domicile,Mode of study,Region,Region of HE provider,Number
2016/17,Cardiff,Full-time,England,East Midlands,210
2016/17,Cardiff,Full-time,England,East of England,115
2016/17,Cardiff,Full-time,England,London,455
2016/17,Cardiff,Full-time,England,North East,60
2016/17,Cardiff,Full-time,England,North West,310
2016/17,Cardiff,Full-time,Northern Ireland,Northern Ireland,5
2016/17,Cardiff,Full-time,Scotland,Scotland,60
2016/17,Cardiff,Full-time,England,South East,570
2016/17,Cardiff,Full-time,England,South West,1170
2016/17,Cardiff,Full-time,England,The Open University in England,0
2016/17,Cardiff,Full-time,Wales,Wales,5325
2016/17,Cardiff,Full-time,England,West Midlands,340
2016/17,Cardiff,Full-time,England,Yorkshire and The Humber,140
2015/16,Cardiff,Full-time,England,North East,50
2015/16,Cardiff,Full-time,England,North West,315
2015/16,Cardiff,Full-time,England,Yorkshire and The Humber,145
2015/16,Cardiff,Full-time,England,"East 
Midlands",215
2015/16,Cardiff,Full-time,England,"West 
Midlands",340
2015/16,Cardiff,Full-time,England,"East of 
England",115
2015/16,Cardiff,Full-time,England,London,520
2015/16,Cardiff,Full-time,England,South East,580
2015/16,Cardiff,Full-time,England,South West,1105
2015/16,Cardiff,Full-time,England,"The Open 
University",0
2015/16,Cardiff,Full-time,Wales,Wales,5145
2015/16,Cardiff,Full-time,Scotland,Scotland,45
2015/16,Cardiff,Full-time,"Northern 
Ireland","Northern 
Ireland",5
2014/15,Cardiff,Full-time,England,North East,40
2014/15,Cardiff,Full-time,England,North West,285
2014/15,Cardiff,Full-time,England,Yorkshire and The Humber,135
2014/15,Cardiff,Full-time,England,"East 
Midlands",190
2014/15,Cardiff,Full-time,England,"West 
Midlands",330
2014/15,Cardiff,Full-time,England,"East of 
England",120
2014/15,Cardiff,Full-time,England,London,475
2014/15,Cardiff,Full-time,England,South East,545
2014/15,Cardiff,Full-time,England,South West,1095
2014/15,Cardiff,Full-time,England,"The Open 
University",0
2014/15,Cardiff,Full-time,Wales,Wales,4995
2014/15,Cardiff,Full-time,Scotland,Scotland,55
2014/15,Cardiff,Full-time,"Northern 
Ireland","Northern 
Ireland",10
2013/14,Cardiff,Full-time,England,North East,40
2013/14,Cardiff,Full-time,England,North West,265
2013/14,Cardiff,Full-time,England,Yorkshire and The Humber,125
2013/14,Cardiff,Full-time,England,"East 
Midlands",195
2013/14,Cardiff,Full-time,England,"West 
Midlands",315
2013/14,Cardiff,Full-time,England,"East of 
England",105
2013/14,Cardiff,Full-time,England,London,485
2013/14,Cardiff,Full-time,England,South East,495
2013/14,Cardiff,Full-time,England,South West,990
2013/14,Cardiff,Full-time,England,"The Open 
University",0
2013/14,Cardiff,Full-time,Wales,Wales,5045
2013/14,Cardiff,Full-time,Scotland,Scotland,55
2013/14,Cardiff,Full-time,"Northern 
Ireland","Northern 
Ireland",10
2012/13,Cardiff,Full-time,England,North East,40
2012/13,Cardiff,Full-time,England,North West,280
2012/13,Cardiff,Full-time,England,Yorkshire and The Humber,110
2012/13,Cardiff,Full-time,England,"East 
Midlands",185
2012/13,Cardiff,Full-time,England,"West 
Midlands",300
2012/13,Cardiff,Full-time,England,"East of 
England",95
2012/13,Cardiff,Full-time,England,London,475
2012/13,Cardiff,Full-time,England,South East,450
2012/13,Cardiff,Full-time,England,South West,950
2012/13,Cardiff,Full-time,England,"The Open 
University",0
2012/13,Cardiff,Full-time,Wales,Wales,5195
2012/13,Cardiff,Full-time,Scotland,Scotland,45
2012/13,Cardiff,Full-time,"Northern 
Ireland","Northern 
Ireland",5
2011/12,Cardiff,Full-time,England,North East,40
2011/12,Cardiff,Full-time,England,North West,270
2011/12,Cardiff,Full-time,England,Yorkshire and The Humber,120
2011/12,Cardiff,Full-time,England,"East 
Midlands",165
2011/12,Cardiff,Full-time,England,"West 
Midlands",270
2011/12,Cardiff,Full-time,England,"East of 
England",80
2011/12,Cardiff,Full-time,England,London,475
2011/12,Cardiff,Full-time,England,South East,440
2011/12,Cardiff,Full-time,England,South West,890
2011/12,Cardiff,Full-time,England,"The Open 
University",0
2011/12,Cardiff,Full-time,Wales,Wales,5220
2011/12,Cardiff,Full-time,Scotland,Scotland,50
2011/12,Cardiff,Full-time,"Northern 
Ireland","Northern 
Ireland",10
2010/11,Cardiff,Full-time,England,North East,40
2010/11,Cardiff,Full-time,England,North West,245
2010/11,Cardiff,Full-time,England,Yorkshire and The Humber,140
2010/11,Cardiff,Full-time,England,"East 
Midlands",165
2010/11,Cardiff,Full-time,England,"West 
Midlands",260
2010/11,Cardiff,Full-time,England,"East of 
England",85
2010/11,Cardiff,Full-time,England,London,450
2010/11,Cardiff,Full-time,England,South East,410
2010/11,Cardiff,Full-time,England,South West,815
2010/11,Cardiff,Full-time,England,"The Open 
University",0
2010/11,Cardiff,Full-time,Wales,Wales,5420
2010/11,Cardiff,Full-time,Scotland,Scotland,55
2010/11,Cardiff,Full-time,"Northern 
Ireland","Northern 
Ireland",5